index,statement,sample_id,openai/gpt-5.4
3,prompted such a waste your brain will not communicate,7,0
3,prompted such a waste your brain will not communicate,10,0
2,the main players are mesmerising,5,1
4,famed gaudi towers,0,0
3,prompted such a waste your brain will not communicate,5,0
0,starter wireless headset,0,0
3,prompted such a waste your brain will not communicate,2,0
2,the main players are mesmerising,1,1
2,the main players are mesmerising,4,1
2,the main players are mesmerising,2,1
1,watch it,3,0
1,watch it,5,0
3,prompted such a waste your brain will not communicate,6,0
3,prompted such a waste your brain will not communicate,8,0
1,watch it,10,0
0,starter wireless headset,10,0
0,starter wireless headset,8,0
1,watch it,4,0
2,the main players are mesmerising,3,1
1,watch it,1,0
3,prompted such a waste your brain will not communicate,3,0
0,starter wireless headset,9,0
4,famed gaudi towers,4,0
2,the main players are mesmerising,10,1
0,starter wireless headset,1,0
3,prompted such a waste your brain will not communicate,0,0
1,watch it,8,0
1,watch it,7,0
0,starter wireless headset,7,0
4,famed gaudi towers,3,0
3,prompted such a waste your brain will not communicate,1,0
1,watch it,2,0
4,famed gaudi towers,5,0
1,watch it,9,0
2,the main players are mesmerising,8,1
7,portrayal,3,0
5,been created on microsoft slideshow for gods sake,9,0
6,delight,2,0
5,been created on microsoft slideshow for gods sake,6,0
6,delight,5,0
5,been created on microsoft slideshow for gods sake,3,0
6,delight,1,0
5,been created on microsoft slideshow for gods sake,8,0
5,been created on microsoft slideshow for gods sake,5,0
4,famed gaudi towers,7,0
6,delight,8,0
5,been created on microsoft slideshow for gods sake,4,0
7,portrayal,6,0
6,delight,4,0
7,portrayal,4,0
5,been created on microsoft slideshow for gods sake,0,0
5,been created on microsoft slideshow for gods sake,1,0
7,portrayal,1,0
7,portrayal,5,0
6,delight,10,0
5,been created on microsoft slideshow for gods sake,10,0
7,portrayal,0,0
4,famed gaudi towers,8,0
5,been created on microsoft slideshow for gods sake,7,0
4,famed gaudi towers,9,0
6,delight,6,0
0,starter wireless headset,5,0
0,starter wireless headset,4,0
7,portrayal,7,0
3,prompted such a waste your brain will not communicate,9,0
1,watch it,0,0
2,the main players are mesmerising,0,1
2,the main players are mesmerising,9,1
2,the main players are mesmerising,7,1
0,starter wireless headset,3,0
6,delight,7,0
4,famed gaudi towers,2,0
4,famed gaudi towers,1,0
7,portrayal,10,0
7,portrayal,8,0
7,portrayal,9,0
8,dont think ive ever seen,6,0
8,dont think ive ever seen,2,0
8,dont think ive ever seen,7,0
9,made of weak material and break easily,5,1
8,dont think ive ever seen,3,0
4,famed gaudi towers,6,0
10,which is to say not good at all,2,1
9,made of weak material and break easily,1,1
9,made of weak material and break easily,8,1
8,dont think ive ever seen,8,0
8,dont think ive ever seen,10,0
7,portrayal,2,0
8,dont think ive ever seen,1,0
9,made of weak material and break easily,2,1
9,made of weak material and break easily,0,1
6,delight,3,0
9,made of weak material and break easily,9,1
3,prompted such a waste your brain will not communicate,4,0
9,made of weak material and break easily,7,1
9,made of weak material and break easily,6,1
