index,statement,consensus,confidence,num_samples
0,starter wireless headset,0,1.0,11
1,watch it,0,0.9090909090909091,11
2,the main players are mesmerising,1,1.0,11
3,prompted such a waste your brain will not communicate,0,1.0,11
4,famed gaudi towers,0,1.0,11
5,been created on microsoft slideshow for gods sake,1,1.0,11
6,delight,0,1.0,11
7,portrayal,0,1.0,11
8,dont think ive ever seen,0,1.0,11
9,made of weak material and break easily,1,1.0,11
10,which is to say not good at all,1,1.0,11
11,foolish,0,1.0,11
12,over a year now and i will tell you its not that great,1,1.0,11
13,setting for your money right,0,1.0,11
14,in my heart and hope for the device is great,0,1.0,11
15,tasty and the texture was just nasty,1,1.0,11
16,to deal,0,1.0,11
17,palmtopcameracellphone and excels in those roles,1,0.7272727272727273,11
18,had,0,1.0,11
19,bought not attentive and beyond bad battery below average phone,1,1.0,11
20,bland,1,1.0,11
21,waitresses are very friendly,1,1.0,11
22,very very bad,1,1.0,11
23,potentially fry it,0,1.0,11
24,how i felt when i came out of the cinema,0,1.0,11
25,feel of samsung flipphones,0,1.0,11
26,a third party,0,1.0,11
27,best seafood plate i have ever had,1,1.0,11
28,rolls were fantastic,1,1.0,11
29,i sometimes,0,1.0,11
30,they dont always honor pizza hut coupons,1,1.0,11
31,definitely not worth the i paid,1,1.0,11
32,grilled chicken was so tender and yellow from the saffron seasoning,1,1.0,11
33,comfortable in fact this little in use the staff spends more great camera really abhor it again,1,1.0,11
34,brilliant and the ending was fantastic,1,1.0,11
35,switch rocketed out there,0,1.0,11
36,frozen margaritas too crazy horse,0,1.0,11
37,after receiving and using the product for just days it broke,1,1.0,11
38,are working just fine now,0,1.0,11
39,film,0,1.0,11
40,garbage for audio,1,1.0,11
41,expect more,0,1.0,11
42,phone he scratched the protective strip instead of destroying the screen,1,1.0,11
43,location was not so good,1,1.0,11
44,by mark snow is possibly the best score ive ever heard,1,1.0,11
45,playing,0,1.0,11
46,this little device has transformed my organizational capability and made us feel very unwelcome i would definitely buy from them again,1,1.0,11
47,ten minutes,0,1.0,11
48,for service was a real waste of battery is a few weeks but phone ever had,1,1.0,11
49,where,0,1.0,11
50,of a fly,0,1.0,11
51,feel good ending,0,1.0,11
52,got the huevos rancheros and they didnt look too appealing,1,1.0,11
53,when dropped face down,0,1.0,11
54,isnt a small family restaurant this is a fine dining establishment,0,1.0,11
55,motorola cellphone and a lot better than this,0,1.0,11
56,by and get through the day was so apt,0,1.0,11
57,clearly,0,1.0,11
58,real improvement,0,1.0,11
59,dessert and i like my organizational capability and seated right next was poorly super,0,1.0,11
60,in the span of an hour seriously,0,1.0,11
